STN_ID,LAT,LONG,ELEV,STATE,NAME
US1MABA0001,41.6818,-70.2048,12.5,MA,YARMOUTH 2.3 SSE
US1MABA0002,41.5871,-70.6321,18.3,MA,FALMOUTH 3.1 NNW
US1MABA0003,41.5531,-70.5504,2.4,MA,FALMOUTH 3.0 E
US1MABA0004,41.7135,-70.4723,50.0,MA,SANDWICH 3.4 SSE
US1MABA0007,41.926,-69.9764,22.3,MA,WELLFLEET 3.0 E
US1MABA0008,41.5395,-70.641,0.9,MA,FALMOUTH 1.8 WSW
US1MABA0010,41.722,-70.4179,25.3,MA,EAST SANDWICH 2.3 SE
US1MABA0011,41.5738,-70.5321,4.9,MA,EAST FALMOUTH 1.4 ESE
US1MABA0012,41.7887,-69.9786,8.5,MA,ORLEANS 1.1 E
US1MABA0013,41.5538,-70.6115,5.2,MA,FALMOUTH 0.6 NNW
US1MABA0014,41.6479,-70.6229,2.4,MA,NORTH FALMOUTH 0.5 ENE
US1MABA0015,41.7688,-70.4907,9.1,MA,SANDWICH 0.9 NNE
US1MABA0016,41.56399999999999,-70.5663,5.5,MA,EAST FALMOUTH 1.1 SSW
US1MABA0017,41.5828,-70.5803,12.8,MA,EAST FALMOUTH 1.2 WNW
US1MABA0018,41.5818,-70.5257,9.8,MA,WAQUOIT 0.6 SSW
US1MABA0019,41.5843,-70.5687,12.5,MA,EAST FALMOUTH 0.7 NW
US1MABA0020,41.6777,-69.9504,4.6,MA,CHATHAM 0.6 E
US1MABA0022,41.7217,-70.2355,3.0,MA,YARMOUTH 0.9 NNW
US1MABA0023,41.716,-70.0279,14.9,MA,HARWICH 2.9 NE
US1MABA0024,41.7018,-70.0752,18.0,MA,HARWICH 0.7 N
US1MABA0025,41.6438,-70.2831,2.1,MA,HYANNIS 0.9 SE
US1MABA0027,41.941,-70.0433,19.8,MA,WELLFLEET 0.7 NW
US1MABA0028,41.9287,-70.0032,7.3,MA,WELLFLEET 1.6 ESE
US1MABA0030,41.8278,-69.9752,4.0,MA,EASTHAM 0.6 SW
US1MABA0032,42.0614,-70.143,1.2,MA,NORTH TRURO 3.1 NW
US1MABA0033,41.7465,-70.05199999999999,31.7,MA,BREWSTER 1.5 ESE
US1MABA0034,41.9341,-70.0295,4.3,MA,WELLFLEET 0.2 ENE
US1MABA0036,41.7057,-70.0257,17.1,MA,HARWICH 2.6 ENE
US1MABA0037,41.7924,-70.0155,5.2,MA,ORLEANS 0.8 W
US1MABA0042,41.7656,-70.001,6.7,MA,ORLEANS 1.8 S
US1MABA0043,41.6741,-69.9694,8.5,MA,CHATHAM 0.4 WSW
US1MABA0045,41.7701,-70.4941,6.7,MA,SANDWICH 0.9 NNE
US1MABA0047,41.6351,-70.5244,16.5,MA,MASHPEE 2.4 WSW
US1MABA0049,41.7128,-70.4695,45.4,MA,SANDWICH 3.5 SSE
US1MABA0050,41.6226,-70.5827,25.3,MA,FALMOUTH 5.4 NNE
US1MABA0051,41.7487,-69.9908,19.5,MA,ORLEANS 3.0 S
US1MABA0052,42.0021,-70.0506,22.3,MA,TRURO 0.8 E
US1MABA0057,41.6284,-70.6232,4.6,MA,FALMOUTH 5.7 N
US1MABA0059,41.6943,-70.3696,15.2,MA,BARNSTABLE 3.6 W
US1MABA0064,41.7379,-70.4905,70.4,MA,SANDWICH 1.5 SSE
US1MABA0065,41.6737,-69.9603,6.7,MA,CHATHAM 0.2 SSE
US1MABA0068,41.8261,-70.0022,0.0,MA,EASTHAM 1.9 WSW
US1MABA0069,41.8236,-69.979,5.8,MA,EASTHAM 0.9 SW
US1MABA0072,41.681000000000004,-70.2256,15.5,MA,YARMOUTH 2.0 S
US1MABA0074,41.6688,-70.1933,7.0,MA,YARMOUTH 3.4 SSE
US1MABA0076,41.7089,-70.2918,4.0,MA,BARNSTABLE 0.7 NE
US1MABA0077,41.7135,-70.1647,15.2,MA,SOUTH DENNIS 1.0 NW
US1MABA0078,41.5841,-70.4889,7.3,MA,MASHPEE 4.6 S
US1MABA0079,41.6396,-70.49,23.2,MA,MASHPEE 0.8 SSW
US1MABA0080,41.7542,-70.1072,5.5,MA,BREWSTER 1.4 W
US1MABE0001,42.5281,-72.9869,501.1,MA,WINDSOR 3.8 NE
US1MABE0002,42.1998,-73.3551,218.2,MA,GREAT BARRINGTON 0.4 N
US1MABE0003,42.2898,-73.3195,253.0,MA,STOCKBRIDGE .2 NNE
US1MABE0004,42.2591,-73.1321,413.3,MA,BECKET 5.6 SSW
US1MABE0005,42.2529,-73.2313,332.2,MA,TYRINGHAM 1.5 WNW
US1MABE0010,42.4788,-73.2738,331.3,MA,PITTSFIELD 2.0 NNW
US1MABE0011,42.2379,-73.3503,226.5,MA,GREAT BARRINGTON 3.0 N
US1MABE0018,42.7005,-73.1694,191.4,MA,NORTH ADAMS 3.0 WNW
US1MABE0019,42.2164,-73.4454,258.2,MA,ALFORD 1.9 SW
US1MABE0020,42.2724,-73.1976,474.3,MA,LEE 3.7 SE
US1MABR0002,41.863,-71.2729,46.6,MA,REHOBOTH 2.1 N
US1MABR0005,41.9305,-71.3361,35.1,MA,ATTLEBORO 2.1 W
US1MABR0008,41.812,-71.1365,42.1,MA,DIGHTON 1.1 WSW
US1MABR0009,41.928999999999995,-71.1298,24.1,MA,TAUNTON 2.6 NW
US1MABR0011,41.9275,-71.2401,60.0,MA,ATTLEBORO 2.9 E
US1MABR0013,41.7363,-71.2145,6.7,MA,SWANSEA 1.9 WSW
US1MABR0014,41.5346,-71.02199999999999,27.7,MA,DARTMOUTH 2.5 SSW
US1MABR0016,41.7351,-71.1552,17.4,MA,SOMERSET 0.4 SSE
US1MABR0017,41.9717,-71.3101,49.7,MA,NORTH ATTLEBORO 0.8 E
US1MABR0019,41.7661,-71.1456,32.0,MA,SOMERSET 2.0 NNE
US1MABR0023,41.9358,-71.2806,37.8,MA,ATTLEBORO 0.9 ENE
US1MABR0024,41.6242,-70.9826,29.6,MA,NEW BEDFORD 3.4 SW
US1MABR0030,41.9581,-71.0821,26.8,MA,TAUNTON 3.9 N
US1MABR0032,41.6617,-70.8955,16.8,MA,ACUSHNET 1.8 SSE
US1MABR0033,41.8985,-71.1388,16.2,MA,TAUNTON 2.4 W
US1MABR0035,41.7652,-71.2707,4.0,MA,SWANSEA 4.6 WNW
US1MABR0037,41.6615,-71.0835,42.4,MA,WESTPORT 0.9 ESE
US1MABR0048,41.9016,-71.0735,0.0,MA,TAUNTON 1.0 E
US1MABR0050,41.5746,-71.0322,41.1,MA,DARTMOUTH 1.8 WNW
US1MABR0052,41.723,-70.944,34.4,MA,NEW BEDFORD 4.3 N
US1MABR0058,41.858000000000004,-71.1473,27.1,MA,DIGHTON 3.3 NNW
US1MADK0001,41.4484,-70.6059,-999.9,MA,VINEYARD HAVEN 0.6 ESE
US1MADK0002,41.4433,-70.6302,21.9,MA,VINEYARD HAVEN 0.8 WSW
US1MADK0004,41.4115,-70.5632,11.0,MA,EDGARTOWN 2.6 NW
US1MADK0005,41.4246,-70.6921,57.0,MA,WEST TISBURY 2.9 N
US1MADK0006,41.4464,-70.5706,7.3,MA,OAK BLUFFS 0.3 SW
US1MADK0007,41.4205,-70.935,38.4,MA,CUTTYHUNK 0.3 W
US1MADK0008,41.4381,-70.6548,56.4,MA,VINEYARD HAVEN 2.1 WSW
US1MADK0009,41.378,-70.6833,18.3,MA,WEST TISBURY 0.4 S
US1MAES0001,42.8638,-70.9001,24.4,MA,SALISBURY 3.7 NW
US1MAES0002,42.5872,-70.8774,14.0,MA,BEVERLY 2.8 NW
US1MAES0003,42.813,-71.1458,67.1,MA,HAVERHILL 3.6 WNW
US1MAES0007,42.4814,-70.9497,13.1,MA,LYNN 0.8 NE
US1MAES0008,42.4921,-70.8758,11.6,MA,MARBLEHEAD 0.8 SW
US1MAES0009,42.7959,-71.0863,33.8,MA,HAVERHILL 0.8 N
US1MAES0010,42.6483,-71.1728,47.9,MA,ANDOVER 1.5 W
US1MAES0012,42.6397,-70.9797,15.2,MA,BOXFORD 2.4 S
US1MAES0014,42.7469,-70.9131,10.4,MA,BYFIELD 1.8 ESE
US1MAES0019,42.7747,-70.9883,31.7,MA,WEST NEWBURY 1.8 SSE
US1MAES0020,42.7945,-71.0861,29.0,MA,HAVERHILL 0.7 N
US1MAES0022,42.6448,-70.5991,23.5,MA,ROCKPORT 1.0 E
US1MAES0024,42.8064,-70.8998,6.4,MA,NEWBURYPORT 0.8 SW
US1MAES0025,42.6796,-70.6535,23.2,MA,GLOUCESTER 4.3 N
US1MAES0026,42.7651,-71.042,10.1,MA,HAVERHILL 2.6 ESE
US1MAES0027,42.8602,-70.9058,21.6,MA,AMESBURY 1.2 ENE
US1MAES0029,42.6731,-71.1092,109.1,MA,NORTH ANDOVER 1.9 SSE
US1MAES0038,42.739,-71.1737,46.6,MA,METHUEN 1.6 NNE
US1MAES0041,42.5685,-70.9353,13.7,MA,DANVERS 0.8 ESE
US1MAES0043,42.6372,-70.6795,9.8,MA,GLOUCESTER 2.1 NW
US1MAES0045,42.4218,-70.9154,2.1,MA,NAHANT 0.4 N
US1MAES0046,42.7377,-70.9579,26.2,MA,GEORGETOWN 1.3 ENE
US1MAES0048,42.6566,-71.1305,62.5,MA,ANDOVER 0.6 E
US1MAES0049,42.611000000000004,-70.6728,4.3,MA,GLOUCESTER 1.2 WSW
US1MAES0055,42.7391,-71.0306,25.3,MA,GROVELAND 0.8 S
US1MAES0056,42.808,-70.8715,14.3,MA,NEWBURYPORT 1.0 ESE
US1MAES0058,42.5813,-71.0271,29.6,MA,MIDDLETON 1.4 SSW
US1MAES0059,42.8732,-70.9302,27.7,MA,AMESBURY 1.2 N
US1MAFR0001,42.6337,-72.5359,138.7,MA,GILL 2.1 WSW
US1MAFR0008,42.4562,-72.3441,255.4,MA,NEW SALEM 3.1 S
US1MAFR0010,42.5088,-72.6973,166.4,MA,CONWAY 0.9 SW
US1MAFR0011,42.6131,-72.6668,227.4,MA,SHELBURNE 2.2 NNE
US1MAFR0012,42.4522,-72.5661,48.8,MA,SUNDERLAND 1.3 SE
US1MAFR0013,42.5442,-72.7274,214.6,MA,CONWAY 2.9 NW
US1MAFR0017,42.589,-72.7511,283.5,MA,BUCKLAND 1.8 ESE
US1MAFR0021,42.576,-72.4966,102.1,MA,MILLERS FALLS 0.2 SW
US1MAFR0022,42.5469,-72.7636,310.3,MA,ASHFIELD 1.4 NE
US1MAFR0025,42.5426,-72.7217,191.7,MA,CONWAY 2.7 NW
US1MAFR0029,42.6716,-72.6967,204.2,MA,COLRAIN 0.8 WNW
US1MAFR0031,42.6872,-72.7511,224.9,MA,COLRAIN 3.7 WNW
US1MAHD0007,42.1136,-72.53,60.4,MA,SPRINGFIELD 0.5 ESE
US1MAHD0009,42.1098,-72.4581,79.6,MA,WILBRAHAM 2.1 SSW
US1MAHD0013,42.1179,-72.6184,17.4,MA,SPRINGFIELD 4.1 W
US1MAHD0015,42.1258,-72.7792,73.2,MA,WESTFIELD 1.5 SW
US1MAHD0016,42.0607,-72.2189,280.4,MA,WALES 0.4 SSW
US1MAHD0017,42.0344,-72.8105,139.3,MA,SOUTHWICK 2.5 WSW
US1MAHD0020,42.0895,-72.4708,74.7,MA,WILBRAHAM 3.7 SSW
US1MAHD0022,42.2175,-72.6243,78.6,MA,HOLYOKE 1.0 ENE
US1MAHD0023,42.1243,-72.5861,61.0,MA,SPRINGFIELD 2.5 WNW
US1MAHD0025,42.1452,-72.5165,65.5,MA,LUDLOW 2.3 SW
US1MAHD0026,42.1529,-72.2495,168.2,MA,BRIMFIELD 3.6 NW
US1MAHD0028,42.1069,-72.7215,67.1,MA,WESTFIELD 2.8 SE
US1MAHS0002,42.2794,-72.78699999999999,220.1,MA,WESTHAMPTON 1.8 SW
US1MAHS0006,42.3531,-72.6991,118.3,MA,LEEDS 0.1 NNE
US1MAHS0007,42.4927,-72.9454,423.1,MA,PLAINFIELD 2.2 SW
US1MAHS0008,42.3917,-72.7384,227.7,MA,WILLIAMSBURG 1.2 WSW
US1MAHS0009,42.1261,-72.7785,72.5,MA,HUNTINGTON 4.1 N
US1MAHS0010,42.3411,-72.6504,64.6,MA,NORTHAMPTON 1.6 NE
US1MAHS0012,42.3207,-72.6738,94.5,MA,NORTHAMPTON 0.4 S
US1MAHS0014,42.4979,-72.8777,413.0,MA,PLAINFIELD 2.4 ESE
US1MAHS0020,42.2608,-72.6585,54.9,MA,EASTHAMPTON 1.3 ESE
US1MAHS0021,42.3244,-72.6637,78.6,MA,NORTHAMPTON 0.6 ESE
US1MAHS0026,42.2611,-72.6892,61.0,MA,EASTHAMPTON 0.5 SW
US1MAHS0030,42.2368,-72.5574,67.1,MA,SOUTH HADLEY 2.1 SSE
US1MAMD0004,42.6985,-71.7519,111.3,MA,TOWNSEND 3.2 NW
US1MAMD0005,42.37,-71.2986,68.9,MA,WESTON 1.6 W
US1MAMD0006,42.4318,-71.1716,88.4,MA,ARLINGTON 1.0 NNW
US1MAMD0007,42.4459,-71.1358,13.7,MA,WINCHESTER 0.7 SE
US1MAMD0008,42.4424,-71.0529,36.3,MA,MELROSE 0.9 SSE
US1MAMD0011,42.3876,-71.1253,14.6,MA,CAMBRIDGE 0.9 NNW
US1MAMD0012,42.4675,-71.482,64.3,MA,ACTON 1.3 SW
US1MAMD0018,42.3988,-71.1638,4.3,MA,BELMONT 0.2 ESE
US1MAMD0021,42.3059,-71.3352,48.5,MA,NATICK 1.7 NNE
US1MAMD0024,42.4462,-71.4755,62.8,MA,STOW 1.5 NE
US1MAMD0025,42.5611,-71.5869,82.3,MA,AYER 0.1 SW
US1MAMD0032,42.2715,-71.4622,79.9,MA,ASHLAND 1.5 N
US1MAMD0034,42.6143,-71.3341,39.0,MA,CHELMSFORD 2.0 ENE
US1MAMD0035,42.6674,-71.5635,54.9,MA,PEPPERELL 1.3 E
US1MAMD0036,42.6317,-71.7015,132.0,MA,TOWNSEND 2.6 S
US1MAMD0037,42.3066,-71.454,0.0,MA,FRAMINGHAM 0.8 W
US1MAMD0041,42.65,-71.5588,84.1,MA,GROTON 3.1 NNE
US1MAMD0042,42.1882,-71.4339,80.8,MA,HOLLISTON 0.8 S
US1MAMD0043,42.3791,-71.0974,4.0,MA,SOMERVILLE 0.8 SSE
US1MAMD0044,42.4228,-71.1318,8.5,MA,MEDFORD 1.2 W
US1MAMD0045,42.573,-71.1442,25.6,MA,WILMINGTON 1.5 NE
US1MAMD0047,42.6762,-71.7498,95.4,MA,WEST TOWNSEND 0.5 W
US1MAMD0051,42.4203,-71.4448,63.7,MA,MAYNARD 0.7 ESE
US1MAMD0052,42.4398,-71.2405,81.4,MA,LEXINGTON 0.6 SW
US1MAMD0053,42.4973,-71.3912,70.4,MA,ACTON 4.0 ENE
US1MAMD0054,42.3971,-71.1615,2.7,MA,BELMONT 0.3 SE
US1MAMD0055,42.1995,-71.4479,88.4,MA,HOLLISTON 0.7 W
US1MAMD0060,42.5464,-71.3062,63.1,MA,BILLERICA 2.0 W
US1MAMD0061,42.4563,-71.5314,94.5,MA,STOW 2.3 NW
US1MAMD0062,42.5972,-71.3449,40.2,MA,CHELMSFORD 1.2 E
US1MAMD0066,42.4713,-71.1414,44.5,MA,WOBURN 1.2 SE
US1MAMD0067,42.4241,-71.1983,83.8,MA,LEXINGTON 2.3 SE
US1MAMD0069,42.5841,-71.0841,28.7,MA,NORTH READING 1.5 NW
US1MAMD0071,42.3599,-71.226,21.3,MA,NEWTON 2.2 NNW
US1MAMD0072,42.4469,-71.0695,13.4,MA,MELROSE 0.8 SW
US1MAMD0074,42.382,-71.0946,19.8,MA,SOMERVILLE 0.7 SSE
US1MAMD0075,42.2419,-71.411,73.5,MA,SHERBORN 2.3 WNW
US1MAMD0080,42.403999999999996,-71.3242,62.2,MA,LINCOLN 1.5 SW
US1MAMD0081,42.5117,-71.0701,38.7,MA,WAKEFIELD 0.5 NNW
US1MAMD0083,42.4807,-71.494,66.4,MA,BOXBOROUGH 1.4 SSE
US1MAMD0085,42.5687,-71.2076,36.3,MA,WILMINGTON 2.2 WNW
US1MAMD0087,42.4911,-71.1604,31.1,MA,WOBURN 0.5 NW
US1MAMD0088,42.3367,-71.3571,90.8,MA,WAYLAND 2.1 SSE
US1MAMD0089,42.3639,-71.4701,85.0,MA,SUDBURY 3.6 W
US1MAMD0090,42.3491,-71.5488,146.6,MA,MARLBOROUGH 0.1 SW
US1MAMD0091,42.548,-71.4062,87.5,MA,WESTFORD 2.8 SSE
US1MAMD0092,42.3218,-71.1838,70.1,MA,NEWTON 1.4 ESE
US1MAMD0093,42.5653,-71.4491,99.1,MA,WESTFORD 1.5 SSW
US1MAMD0096,42.4494,-71.2279,67.4,MA,LEXINGTON 0.3 NE
US1MAMD0100,42.3904,-71.3985,50.3,MA,SUDBURY 1.6 N
US1MAMD0104,42.5717,-71.4991,73.2,MA,LITTLETON 2.8 NNW
US1MAMD0105,42.5309,-71.4883,85.6,MA,LITTLETON 0.9 WSW
US1MAMD0106,42.2007,-71.4798,86.3,MA,HOLLISTON 2.4 W
US1MAMD0107,42.3052,-71.4047,67.1,MA,FRAMINGHAM 1.7 E
US1MAMD0111,42.4127,-71.1274,20.4,MA,MEDFORD 1.2 SW
US1MAMD0115,42.4037,-71.5868,106.1,MA,HUDSON 1.4 NW
US1MAMD0119,42.3711,-71.1995,16.5,MA,WATERTOWN 1.1 W
US1MAMD0120,42.3087,-71.3358,53.0,MA,NATICK 1.9 NNE
US1MAMD0123,42.435,-71.2098,61.0,MA,LEXINGTON 1.3 SE
US1MAMD0125,42.5708,-71.1981,30.8,MA,TEWKSBURY 3.6 SSE
US1MAMD0126,42.4606,-71.054,31.4,MA,MELROSE 0.5 NE
US1MAMD0134,42.3829,-71.0994,6.1,MA,SOMERVILLE 0.5 SSE
US1MAMD0136,42.3768,-71.3132,46.6,MA,WESTON 2.5 WNW
US1MAMD0152,42.422,-71.1205,6.1,MA,MEDFORD 0.6 W
US1MAMD0156,42.3702,-71.5001,109.1,MA,MARLBOROUGH 2.8 ENE
US1MANF0001,42.1976,-71.2137,65.5,MA,NORWOOD 1.3 NW
US1MANF0003,42.0944,-71.3776,76.5,MA,FRANKLIN 0.7 NE
US1MANF0005,42.2115,-70.9506,30.2,MA,WEYMOUTH 0.5 NW
US1MANF0008,42.0592,-71.2468,82.6,MA,FOXBOROUGH 0.4 S
US1MANF0010,42.2686,-70.9514,4.6,MA,QUINCY 2.9 E
US1MANF0011,42.146,-71.3794,58.2,MA,MILLIS 2.0 SW
US1MANF0016,42.0263,-71.468,68.0,MA,BELLINGHAM 4.7 S
US1MANF0017,42.2797,-71.2172,64.6,MA,NEEDHAM 1.2 E
US1MANF0019,42.0421,-71.2646,65.2,MA,FOXBOROUGH 1.8 SSW
US1MANF0025,42.2894,-71.2152,58.8,MA,NEEDHAM 1.4 ENE
US1MANF0026,42.0601,-71.4706,75.6,MA,BELLINGHAM 2.4 S
US1MANF0027,42.2455,-71.0276,14.6,MA,QUINCY 1.5 SW
US1MANF0029,42.0263,-71.4301,103.6,MA,WRENTHAM 5.7 WSW
US1MANF0031,42.1152,-71.0762,79.2,MA,STOUGHTON 1.2 E
US1MANF0032,42.2524,-71.0396,16.8,MA,QUINCY 1.8 WSW
US1MANF0035,42.3043,-71.2896,47.5,MA,WELLESLEY 0.1 W
US1MANF0036,42.2446,-70.9565,10.7,MA,WEYMOUTH 2.8 NW
US1MANF0039,42.2433,-70.9548,15.8,MA,WEYMOUTH 2.3 N
US1MANF0049,42.235,-71.1471,28.0,MA,DEDHAM 1.8 ESE
US1MANF0050,42.1797,-71.333,44.8,MA,MILLIS 1.4 ENE
US1MANT0001,41.2922,-70.1702,4.3,MA,NANTUCKET 3.8 WNW
US1MANT0002,41.2657,-70.0616,16.5,MA,NANTUCKET 2.2 E
US1MAPL0001,42.1895,-70.8665,35.7,MA,HINGHAM 3.5 SSE
US1MAPL0002,41.8096,-70.5581,18.3,MA,SAGAMORE BEACH 1.0 NW
US1MAPL0004,41.9855,-70.7813,31.4,MA,KINGSTON 3.5 WSW
US1MAPL0005,42.016999999999996,-70.77199999999999,21.9,MA,KINGSTON 3.3 WNW
US1MAPL0006,41.8918,-70.8214,42.1,MA,MIDDLEBOROUGH 5.5 E
US1MAPL0007,41.9597,-70.6678,9.1,MA,PLYMOUTH 0.6 ENE
US1MAPL0008,42.2149,-70.892,18.0,MA,HINGHAM 1.6 S
US1MAPL0010,42.2107,-70.8904,20.4,MA,HINGHAM 1.8 S
US1MAPL0012,42.0416,-70.9809,24.1,MA,EAST BRIDGEWATER 1.7 WNW
US1MAPL0013,42.0913,-70.6491,5.5,MA,MARSHFIELD 2.9 E
US1MAPL0015,42.1343,-70.9521,46.0,MA,ABINGTON 1.2 NNE
US1MAPL0017,41.9631,-70.812,21.3,MA,PLYMPTON 0.9 NNE
US1MAPL0018,42.0799,-70.7726,8.8,MA,PEMBROKE 1.7 ENE
US1MAPL0019,41.7482,-70.8279,18.3,MA,ROCHESTER 1.2 NNW
US1MAPL0021,41.988,-70.9694,15.5,MA,BRIDGEWATER 0.1 ESE
US1MAPL0022,42.032,-70.9548,22.3,MA,EAST BRIDGEWATER 0.3 WSW
US1MAPL0023,42.0384,-70.8394,24.4,MA,PEMBROKE 2.8 SW
US1MAPL0024,42.0799,-70.9535,29.3,MA,WHITMAN 1.1 WSW
US1MAPL0028,42.0814,-70.9344,32.0,MA,WHITMAN 0.1 SSW
US1MAPL0030,42.0424,-70.7462,33.8,MA,DUXBURY 3.7 W
US1MAPL0031,41.9717,-70.9438,27.7,MA,BRIDGEWATER 1.8 SE
US1MAPL0033,41.9503,-70.6806,43.3,MA,PLYMOUTH 0.6 SSW
US1MAPL0036,42.2309,-70.8745,11.3,MA,HINGHAM 0.8 ESE
US1MAPL0037,42.2017,-70.7516,30.5,MA,SCITUATE 1.2 NW
US1MAPL0039,41.8909,-70.58800000000001,27.4,MA,PLYMOUTH 6.6 SE
US1MAPL0043,42.0723,-70.8587,19.2,MA,HANSON 0.7 NW
US1MAPL0047,41.9731,-70.6841,14.3,MA,PLYMOUTH 1.1 NNW
US1MAPL0048,42.1119,-70.7178,26.8,MA,MARSHFIELD 1.5 NNW
US1MASF0001,42.357,-71.0671,13.1,MA,BOSTON 0.5 WSW
US1MASF0002,42.3842,-70.9797,13.1,MA,WINTHROP 0.2 N
US1MASF0003,42.3131,-71.0998,24.1,MA,JAMAICA PLAIN 1.3 NE
US1MASF0004,42.3496,-71.1589,16.2,MA,BRIGHTON 0.5 W
US1MASF0010,42.4073,-71.0357,32.3,MA,CHELSEA 0.8 N
US1MASF0017,42.2886,-71.0496,2.7,MA,DORCHESTER 1.8 ENE
US1MAWR0001,42.178999999999995,-71.5339,121.0,MA,MILFORD 2.3 NNW
US1MAWR0002,42.2893,-71.5871,135.9,MA,WESTBOROUGH 2.2 NE
US1MAWR0006,42.0842,-72.0225,139.9,MA,SOUTHBRIDGE 0.6 E
US1MAWR0007,42.148999999999994,-71.525,119.5,MA,MILFORD 0.5 W
US1MAWR0008,42.5667,-71.8217,217.6,MA,FITCHBURG 1.6 SSW
US1MAWR0010,42.2645,-71.623,113.1,MA,WESTBOROUGH 0.3 WSW
US1MAWR0013,42.497,-71.775,179.5,MA,LEOMINSTER 1.5 S
US1MAWR0018,42.3037,-71.6462,91.4,MA,NORTHBOROUGH 0.6 SSE
US1MAWR0020,42.137,-71.5333,117.3,MA,MILFORD 1.2 SW
US1MAWR0025,42.3377,-71.8137,249.3,MA,HOLDEN 2.0 ESE
US1MAWR0028,42.3775,-71.6583,123.4,MA,BERLIN 1.3 WSW
US1MAWR0030,42.3195,-71.7005,179.8,MA,SHREWSBURY 1.6 NNE
US1MAWR0031,42.2003,-71.7089,110.0,MA,GRAFTON 1.3 W
US1MAWR0032,42.1888,-71.8001,216.4,MA,AUBURN 1.9 ESE
US1MAWR0039,42.5729,-72.0049,305.7,MA,GARDNER 1.2 SW
